id,atua_como_po,tempo_experiencia,tipo_empresa,q18_areas_desenvolvimento,q19_formato_apoio,q20_nivel_jornada,comentario,knowledge_score,challenge_score,trilha,data_resposta,created_at
ANON_ID_33,sim_oficial,6m_1a,Consultoria Salesforce,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)"",""Liderança e soft 
skills""]",mentoria_individual,Intermediário,NA,3.43,3.67,Avançado,2025-10-15T14:26:29Z,2025-10-15T14:26:29Z
ANON_ID_34,sim_parcial,mais_2a,FindUP (recém desligado),"[""Priorização e backlog""]",workshops,Intermediário,NA,4.57,4.33,Avançado,2025-10-15T14:29:16Z,2025-10-15T14:29:16Z
ANON_ID_35,interesse,menos_6m,AdTech,"[""Transição de carreira para PO"",""Comunicação e influência com stakeholders"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto""]",cases,Iniciante,NA,3.71,2.83,Intermediário,2025-10-15T14:32:03Z,2025-10-15T14:32:03Z
ANON_ID_36,sim_parcial,mais_2a,Financeiro ,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Roadmap e planejamento de portfólio""]",mentoria_grupo,Intermediário,NA,3.43,3.5,Intermediário,2025-10-15T16:32:01Z,2025-10-15T16:32:01Z
ANON_ID_37,sim_oficial,mais_2a,Edtech/RH Tech/Telecom/Fintech,"[""Comunicação e influência com stakeholders""]",mentoria_individual,Avançado,NA,4.57,4.83,Avançado,2025-10-16T11:21:55Z,2025-10-16T11:21:55Z
ANON_ID_38,sim_oficial,mais_2a,Fintech,"[""Estratégia e visão de produto""]",workshops,Avançado,NA,4,4.17,Avançado,2025-10-16T13:58:39Z,2025-10-16T13:58:39Z
ANON_ID_39,sim_oficial,mais_2a,Varejo/e-commerce,"[""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto""]",mentoria_grupo,Avançado,NA,5,5,Avançado,2025-10-17T14:01:45Z,2025-10-17T14:01:45Z
ANON_ID_40,sim_oficial,mais_2a,Fintech,"[""Liderança e soft skills"",""Comunicação e influência com stakeholders"",""Estratégia e visão de produto""]",workshops,Avançado,NA,4.71,4.17,Avançado,2025-10-17T16:47:38Z,2025-10-17T16:47:38Z
ANON_ID_41,sim_oficial,mais_2a,Serviços,"[""Comunicação e influência com stakeholders""]",mentoria_individual,Avançado,NA,4.43,4.33,Avançado,2025-10-18T13:51:24Z,2025-10-18T13:51:24Z
ANON_ID_42,interesse,mais_2a,Atuei com produtos de telecom e gostaria atuar com produto ligado a perfumaria ou cuidado com animais,"[""Roadmap e planejamento de portfólio"",""Métricas e resultados (OKRs, A/B, cohorts, etc.)"",""Estratégia e visão de produto"",""Técnicas e ferramentas ágeis (user stories, refinement, etc.)"",""Comunicação e influência com stakeholders""]",workshops,Iniciante,"Trabalhei como analista de negocio e nesse papel, eu era o contato com o cliente, entndedor da necessidade e era responsável por internalizar em TI e garantir que fosse construído. Em squads ageis, eu levava a necessidade pro PO, ficava como ponte com o cliente e apoiava o PO e o SM
Fiz a certificação de SM e PO no inicio do desse ano",3.43,3.5,Intermediário,2025-10-26T18:12:59Z,2025-10-26T18:12:59Z
