id,q18_areas_desenvolvimento
ANON_ID_22,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_23,Estratégia e visão de produto
ANON_ID_23,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_23,Roadmap e planejamento de portfólio
ANON_ID_23,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_24,"Roadmap 
e planejamento de portfólio"
ANON_ID_25,Estratégia e visão de produto
ANON_ID_26,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_26,Estratégia e visão de produto
ANON_ID_26,Liderança e soft skills
ANON_ID_26,Roadmap e planejamento de portfólio
ANON_ID_27,Priorização e backlog
ANON_ID_27,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_27,Roadmap e planejamento de portfólio
ANON_ID_27,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_27,Estratégia e visão de produto
ANON_ID_28,Roadmap e planejamento de portfólio
ANON_ID_28,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_28,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_29,Estratégia e visão de produto
ANON_ID_29,"Métricas e resultados (OKRs, 
etc.)"
ANON_ID_29,Roadmap e planejamento de portfólio
ANON_ID_30,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_30,Roadmap e planejamento de portfólio
ANON_ID_30,Liderança e soft skills
ANON_ID_31,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_31,Priorização e backlog
ANON_ID_31,Roadmap e planejamento de portfólio
ANON_ID_31,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_32,Priorização e backlog
ANON_ID_32,Transição de carreira para PO
ANON_ID_32,Liderança e soft skills
ANON_ID_32,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_32,Roadmap e planejamento de portfólio
ANON_ID_32,Comunicação e influência com stakeholders
ANON_ID_32,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_32,Estratégia e visão de produto
ANON_ID_33,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_33,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_33,"Liderança e soft 
skills"
ANON_ID_34,Priorização e backlog
ANON_ID_35,Transição de carreira para PO
ANON_ID_35,Comunicação e influência com stakeholders
ANON_ID_35,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_35,Estratégia e visão de produto
ANON_ID_36,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_36,Roadmap e planejamento de portfólio
ANON_ID_37,Comunicação e influência com stakeholders
ANON_ID_38,Estratégia e visão de produto
ANON_ID_39,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_39,Estratégia e visão de produto
ANON_ID_40,Liderança e soft skills
ANON_ID_40,Comunicação e influência com stakeholders
ANON_ID_40,Estratégia e visão de produto
ANON_ID_41,Comunicação e influência com stakeholders
ANON_ID_42,Roadmap e planejamento de portfólio
ANON_ID_42,"Métricas e resultados (OKRs, A/B, cohorts, etc.)"
ANON_ID_42,Estratégia e visão de produto
ANON_ID_42,"Técnicas e ferramentas ágeis (user stories, refinement, etc.)"
ANON_ID_42,Comunicação e influência com stakeholders
